GeneName,R_033_C_Pp_yr2,R_036_C_Pp_yr2,R_045_C_Pp_yr2,R_048_C_Pp_yr2,R_049_La_Pp_yr2,R_051_C_Pp_yr2,R_052_La_Pp_yr2,R_054_C_Pp_yr2,R_057_C_Pp_yr2,R_058_La_Pp_yr2
GCKDGN101A7UY5_Ppor,0,0,0,0,0,0,0,2,3,0
GCKDGN101A7VH2_Ppor,23,0,2,2,1,0,0,4,0,0
GCKDGN101A7W15_Ppor,0,0,0,0,1,0,0,0,1,3
GCKDGN101A7XOY_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A7YAO_Ppor,0,0,0,0,3,0,0,2,0,0
GCKDGN101A7YXT_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A7YYV_Ppor,0,0,0,6,0,0,0,1,7,0
GCKDGN101A80KN_Ppor,0,0,1,0,0,1,0,0,0,0
GCKDGN101A831E_Ppor,0,0,0,0,0,0,0,0,0,1
GCKDGN101A84QD_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A84QZ_Ppor,0,0,1,0,0,0,1,7,6,0
GCKDGN101A866X_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A8BBD_Ppor,0,0,0,0,0,0,0,0,1,0
GCKDGN101A8BCS_Ppor,0,0,3,0,0,0,0,1,2,0
GCKDGN101A8GYF_Ppor,0,0,0,2,0,0,0,1,1,0
GCKDGN101A8JMV_Ppor,0,0,4,2,0,0,0,0,0,0
GCKDGN101A8JQQ_Ppor,3,0,0,0,0,0,0,1,2,0
GCKDGN101A8JYC_Ppor,4,0,7,2,0,0,2,4,3,0
GCKDGN101A8KGC_Ppor,0,0,0,0,0,0,0,2,0,0
GCKDGN101A8L8D_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A8LD2_Ppor,0,0,0,0,1,0,0,0,3,1
GCKDGN101A8LTX_Ppor,0,0,0,4,0,0,0,8,0,1
GCKDGN101A8MAV_Ppor,0,0,0,0,0,0,0,2,1,1
GCKDGN101A8MD6_Ppor,0,0,2,3,1,1,0,0,0,0
GCKDGN101A8NVQ_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A8O1L_Ppor,0,0,6,1,0,0,0,2,1,0
GCKDGN101A8OB0_Ppor,0,0,1,7,1,0,1,0,11,2
GCKDGN101A8QKL_Ppor,0,0,0,0,0,0,0,0,2,0
GCKDGN101A8SQB_Ppor,21,1,0,4,0,0,0,0,4,1
GCKDGN101A8TY4_Ppor,0,0,1,1,0,0,0,1,4,0
GCKDGN101A8V7L_Ppor,0,0,1,0,0,0,0,1,1,6
GCKDGN101A8W2V_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A8XHS_Ppor,0,0,0,0,0,0,0,0,0,1
GCKDGN101A8XYN_Ppor,0,0,0,0,0,0,0,0,3,0
GCKDGN101A8Z0C_Ppor,0,0,1,4,0,0,0,2,1,0
GCKDGN101A8Z0G_Ppor,0,0,2,0,0,0,0,1,1,0
GCKDGN101A8ZZU_Ppor,15,0,13,3,0,0,1,7,4,5
GCKDGN101A915U_Ppor,0,0,0,0,0,0,0,0,1,0
GCKDGN101A91SL_Ppor,3,0,1,1,0,0,1,3,4,1
GCKDGN101A92GT_Ppor,0,0,0,0,0,0,0,2,2,0
GCKDGN101A936C_Ppor,24,1,5,2,1,0,0,1,0,0
GCKDGN101A946J_Ppor,0,0,3,4,0,0,1,3,3,3
GCKDGN101A96PN_Ppor,0,0,0,0,0,0,0,4,2,1
GCKDGN101A97IE_Ppor,0,0,0,1,0,0,0,2,3,1
GCKDGN101A9B0N_Ppor,0,0,0,0,0,0,0,0,1,1
GCKDGN101A9BSA_Ppor,0,0,1,0,0,0,1,0,6,1
GCKDGN101A9DBW_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A9DE4_Ppor,5,0,12,2,1,0,0,3,6,6
GCKDGN101A9DG8_Ppor,28,0,0,4,0,0,0,1,6,1
GCKDGN101A9DR5_Ppor,0,0,1,1,0,0,0,1,1,1
GCKDGN101A9E4S_Ppor,2,0,2,2,0,0,0,0,0,0
GCKDGN101A9G2X_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A9IDK_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A9IK2_Ppor,0,0,3,0,0,0,0,0,8,0
GCKDGN101A9IW7_Ppor,0,0,1,7,1,0,0,0,2,3
GCKDGN101A9IY8_Ppor,0,0,0,2,0,0,2,1,6,0
GCKDGN101A9IYL_Ppor,0,0,1,0,0,0,0,0,2,1
GCKDGN101A9JO7_Ppor,0,0,17,0,0,0,0,0,8,3
GCKDGN101A9KYL_Ppor,0,0,0,0,0,0,0,3,0,0
GCKDGN101A9LBG_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A9OT1_Ppor,0,0,0,0,0,0,0,0,1,1
GCKDGN101A9OXS_Ppor,0,20,0,0,0,0,1,0,0,0
GCKDGN101A9PTK_Ppor,0,0,0,0,3,0,0,0,2,1
GCKDGN101A9PWQ_Ppor,0,0,0,2,0,0,0,0,1,1
GCKDGN101A9PZD_Ppor,0,0,1,0,0,0,0,1,0,0
GCKDGN101A9QGN_Ppor,0,0,3,0,0,0,0,0,1,0
GCKDGN101A9RIC_Ppor,0,0,0,0,0,0,0,0,1,0
GCKDGN101A9RIN_Ppor,0,0,0,0,0,0,0,1,2,0
GCKDGN101A9S95_Ppor,0,0,0,4,0,0,0,0,0,0
GCKDGN101A9SQG_Ppor,0,0,0,0,0,0,0,1,1,4
GCKDGN101A9UPZ_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A9VML_Ppor,0,0,2,2,0,0,0,1,8,3
GCKDGN101A9XK9_Ppor,0,0,1,0,1,0,0,2,3,3
GCKDGN101A9XYQ_Ppor,0,0,0,0,0,0,1,2,2,0
GCKDGN101A9ZLP_Ppor,0,0,0,0,1,0,0,3,6,0
GCKDGN101AJ0GF_Ppor,43,0,18,11,0,0,0,2,6,2
GCKDGN101AJ0K0_Ppor,0,0,2,2,1,0,1,1,2,1
GCKDGN101AJ523_Ppor,21,0,4,8,2,0,0,1,4,5
GCKDGN101AJ6KH_Ppor,0,0,0,1,0,0,0,0,0,0
GCKDGN101AJ6MN_Ppor,0,0,0,0,0,0,1,0,0,3
GCKDGN101AJ6V0_Ppor,0,0,0,0,1,0,0,1,1,3
GCKDGN101AJWS6_Ppor,0,0,0,0,0,0,0,0,2,1
GCKDGN101AK02D_Ppor,0,0,1,0,0,0,0,2,0,0
GCKDGN101AK1BY_Ppor,68,0,14,9,1,0,0,3,10,4
